ds,yhat,yhat_lower,yhat_upper
2016-03-29,14351.066729689073,12914.547597800625,15836.720579267096
2016-03-30,14262.129462642873,12714.830041762596,15768.237216517622
2016-03-31,14240.023292171882,12827.958695187,15889.744689530777
2016-04-01,13940.041841197928,12469.43755891951,15421.732053546486
2016-04-02,12709.891744365097,11287.19904340626,14339.229437800663
2016-04-03,12236.958802289999,10808.393967260716,13780.361613014318
2016-04-04,13804.157259102487,12190.753103968917,15332.041961273884
2016-04-05,13993.338159764453,12461.99474776236,15474.481540197983
2016-04-06,13880.757020976425,12486.448776888144,15423.00049761884
2016-04-07,13837.044744666717,12340.273025189503,15455.54445165679
2016-04-08,13518.546558581238,12012.88195285335,14946.949717284748
2016-04-09,12273.921582339626,10682.22328256697,13752.467186494223
2016-04-10,11791.378716979107,10183.398104913143,13277.708549875393
2016-04-11,13354.499826240974,11742.366739962348,14713.085223248338
2016-04-12,13545.626967663678,12083.555202952133,14969.609111501726
2016-04-13,13441.314554989038,11970.804614519117,14950.668285368538
2016-04-14,13412.290855112162,11875.476197764989,14987.540905203556
2016-04-15,13114.793890642924,11594.929243754277,14545.871655306479
2016-04-16,11897.174436669848,10453.512626017442,13408.625530351464
2016-04-17,11447.1417009129,10026.01077558238,12979.508140106569
2016-04-18,13047.602351041745,11657.713222672899,14778.612890499537
2016-04-19,13280.069156352336,11826.277617603004,14806.537086242543
2016-04-20,13220.13946288214,11714.697035343024,14811.995159623231
2016-04-21,13237.487091302859,11860.044672845379,14730.128645524986
2016-04-22,12987.231788043931,11530.541992372497,14456.29756632513
2016-04-23,11816.577879248125,10351.989036174775,13301.52766543571
2016-04-24,11412.096611030462,10020.908337126335,12932.890953353812
2016-04-25,13055.60170087754,11482.484546532944,14563.226821821849
2016-04-26,13327.593229632612,11965.173581001492,14807.848020021564
2016-04-27,13302.768991536686,11777.176445914782,14732.054311902139
2016-04-28,13350.045859328391,11969.62105099173,14932.332157323735
2016-04-29,13123.954363662611,11523.070338195294,14680.578542771354
2016-04-30,11971.29733467857,10499.015888343043,13579.083582783505
2016-05-01,11578.446441690074,9980.635445454438,13086.245022587436
2016-05-02,13227.225682581104,11672.961369553981,14818.325245556547
2016-05-03,13498.356668375158,12088.757746054785,15038.78320789162
2016-05-04,13466.964734818155,11916.021689656023,14944.937396436624
2016-05-05,13502.588554234044,11933.299772392264,15028.407810487863
2016-05-06,13260.556762040489,11832.396993123351,14742.805308191646
2016-05-07,12088.62295136807,10643.50759520299,13513.678835309443
2016-05-08,11674.233553034983,10142.501486695179,13139.915674942169
2016-05-09,13300.378490130066,11738.156250625158,14793.789608808236
2016-05-10,13549.000421660548,11995.168815309924,15046.378398731473
2016-05-11,13496.46267953807,11766.426567530847,14907.029931790088
2016-05-12,13513.519715855606,11984.093615088532,15033.301494483641
2016-05-13,13256.654756248026,11739.445456341731,14750.084622428903
2016-05-14,12074.677196466124,10629.84768627816,13676.869323624782
2016-05-15,11655.955410337983,10104.263873091371,13191.996617053092
2016-05-16,13284.235941636132,11754.876784633443,14869.851406966138
2016-05-17,13542.025877796032,12053.682527429197,15060.655332393826
2016-05-18,13506.039363173288,11967.442533742225,14974.706739645822
2016-05-19,13547.152766496683,12025.598542638741,15069.095283657845
2016-05-20,13321.73371853948,11772.499551425972,14742.01696167737
2016-05-21,12178.236883658283,10733.90294356683,13836.978524643957
2016-05-22,11804.442255399099,10245.264466663675,13306.663237944844
2016-05-23,13483.286861496847,11977.351041200573,15009.512151408475
2016-05-24,13796.266381399873,12317.722730191705,15280.649823567628
